Data_Unit,Error_Rate,Time_Elapsed,Throughput
500,0,57.782,1034.803223
500,0,130.127,459.497253
500,0,26.028,2297.256836
500,0,81.924,729.859375
500,0,81.533,733.359497
500,0,45.484,1314.594116
500,0,103.432,578.089966
500,0,42.82,1396.380249
500,0,40.584,1473.314575
500,0,44.989,1329.058228
500,0,49.491,1208.159058
500,0,34.558,1730.22168
500,0,75.641,790.484009
500,0,45.303,1319.846313
500,0,34.77,1719.672119
500,0,41.149,1453.085205
500,0,1043.663,57.291485
500,0,41.408,1443.996338
500,0,22.228,2689.985596
500,0,34.79,1718.683472
500,0,42.877,1394.523926
500,0,26.903,2222.540283
500,0,33.557,1781.833984
500,0,34.983,1709.201538
500,0,44.985,1329.176392
500,0,26.801,2230.998779
500,0,61.264,975.989136
500,0,35.859,1667.44751
500,0,43.95,1360.477783
500,0,21.065,2838.499756
500,0,33.869,1765.419678
500,0,22.502,2657.230469
500,0,32.818,1821.957397
500,0,55.612,1075.181641
500,0,24.496,2440.929199
500,0,33.027,1810.427856
500,0,19.694,3036.102295
500,0,19.601,3050.507568
500,0,38.861,1538.637695
500,0,41.163,1452.590942
500,0,18.722,3193.729248
500,0,43.39,1378.036377
500,0,27.058,2209.808594
500,0,1023.513,58.419384
500,0,28.869,2071.183594
500,0,21.093,2834.731934
500,0,39.453,1515.550171
500,0,21.046,2841.0625
500,0,23.625,2530.920654
500,0,38.552,1550.970215
500,0,32.88,1818.521851
500,0,27.404,2181.907715
500,0,67.836,881.434631
500,0,23.337,2562.154541
500,0,60.072,995.355591
500,0,51.204,1167.740845
500,0,63.72,938.370972
500,0,34.605,1727.871704
500,0,11.47,5212.990234
500,0,18.904,3162.981445
500,25,22.755,2627.686279
500,25,1071.631,55.796261
500,25,50.075,1194.068848
500,25,66.469,899.562195
500,25,81.689,731.958984
500,25,48.455,1233.990234
500,25,38.878,1537.964966
500,25,54.42,1098.732178
500,25,68.69,870.476013
500,25,98.682,605.915955
500,25,61.822,967.179993
500,25,33.969,1760.222412
500,25,36.4,1642.664795
500,25,44.101,1355.81958
500,25,35.834,1668.61084
500,25,24.608,2429.81958
500,25,72.765,821.727478
500,25,37.591,1590.620117
500,25,56.004,1067.655884
500,25,1015.607,58.874153
500,25,56.26,1062.797729
500,25,22.077,2708.384277
500,25,23.637,2529.635742
500,25,49.614,1205.16394
500,25,54.443,1098.267944
500,25,37.394,1598.999756
500,25,26.733,2236.673828
500,25,52.861,1131.136353
500,25,51.988,1150.130859
500,25,60.822,983.081787
500,25,49.212,1215.008545
500,25,59.437,1005.989502
500,25,30.003,1992.900635
500,25,57.983,1031.216064
500,25,49.977,1196.410278
500,25,24.386,2451.939697
500,25,50.776,1177.583862
500,25,58.788,1017.095337
500,25,42.685,1400.796509
500,25,32.154,1859.582031
500,25,1051.719,56.852638
500,25,47.878,1248.861694
500,25,47.99,1245.947021
500,25,37.326,1601.912842
500,25,35.876,1666.657349
500,25,30.991,1929.366699
500,25,51.975,1150.418457
500,25,68.341,874.921326
500,25,77.028,776.250183
500,25,57.373,1042.180054
500,25,49.992,1196.051392
500,25,49.568,1206.282227
500,25,43.442,1376.386841
500,25,23.611,2532.421387
500,25,58.513,1021.875488
500,25,69.525,860.021545
500,25,38.469,1554.316406
500,25,23.695,2523.443848
500,25,74.869,798.634888
500,25,1038.525,57.574924
500,50,124.489,480.307495
500,50,117.035,510.898438
500,50,95.51,626.039124
500,50,89.234,670.069702
500,50,1100.171,54.348824
500,50,85.488,699.431519
500,50,99.035,603.756226
500,50,123.287,484.990295
500,50,121.669,491.43988
500,50,70.279,850.794678
500,50,104.501,572.176331
500,50,94.812,630.648071
500,50,89.018,671.695618
500,50,108.877,549.179382
500,50,1081.657,55.279076
500,50,56.7,1054.550293
500,50,89.032,671.590027
500,50,95.298,627.431885
500,50,98.349,607.967529
500,50,99.123,603.220215
500,50,105.679,565.798279
500,50,156.316,382.513641
500,50,117.282,509.822479
500,50,74.592,801.600647
500,50,1064.491,56.170509
500,50,88.525,675.436279
500,50,131.318,455.329834
500,50,86.243,693.308472
500,50,103.264,579.030457
500,50,57.91,1032.515991
500,50,124.001,482.197723
500,50,99.948,598.241089
500,50,56.33,1061.476929
500,50,78.017,766.409912
500,50,1238.292,48.286671
500,50,78.346,763.191467
500,50,100.433,595.352112
500,50,75.914,787.641235
500,50,83.804,713.486206
500,50,87.462,683.645508
500,50,83.922,712.483032
500,50,79.513,751.990234
500,50,86.941,687.742249
500,50,99.319,602.029846
500,50,1096.798,54.515965
500,50,78.236,764.264526
500,50,85.795,696.928711
500,50,79.005,756.825562
500,50,90.665,659.493713
500,50,112.544,531.285522
500,50,96.831,617.498535
500,50,52.039,1149.00354
500,50,109.92,543.968323
500,50,57.577,1038.487549
500,50,94.42,633.266296
500,50,83.244,718.28595
500,50,1054.971,56.677391
500,50,61.622,970.319031
500,50,80.377,743.90686
500,50,97.317,614.414734
500,75,233.979,255.548569
500,75,197.029,303.473083
500,75,207.286,288.456543
500,75,1194.71,50.04813
500,75,189.655,315.272461
500,75,153.225,390.230042
500,75,205.116,291.508209
500,75,208.891,286.240173
500,75,1170.546,51.081291
500,75,135.301,441.925812
500,75,284.291,210.323242
500,75,212.082,281.933411
500,75,224.455,266.391937
500,75,1237.257,48.327068
500,75,194.547,307.344757
500,75,244.422,244.630188
500,75,181.61,329.238464
500,75,1263.981,47.305302
500,75,248.71,240.412521
500,75,195.695,305.541779
500,75,228.691,261.457611
500,75,1234.481,48.435741
500,75,223.606,267.403381
500,75,208.374,286.950409
500,75,197.093,303.374542
500,75,221.687,269.718109
500,75,1191.763,50.17189
500,75,215.273,277.754303
500,75,230.086,259.872406
500,75,169.673,352.401367
500,75,222.791,268.381592
500,75,1280.407,46.698433
500,75,212.356,281.569611
500,75,193.201,309.485962
500,75,213.864,279.584229
500,75,1214.552,49.230499
500,75,183.224,326.338257
500,75,195.726,305.493408
500,75,204.468,292.432068
500,75,168.097,355.705322
500,75,1193.944,50.080238
500,75,204.905,291.808411
500,75,257.819,231.918518
500,75,181.643,329.17865
500,75,127.662,468.369598
500,75,1194.551,50.05479
500,75,136.281,438.747864
500,75,191.205,312.716705
500,75,228.831,261.297638
500,75,205.976,290.291107
500,75,145.162,411.905304
500,75,1226.532,48.749645
500,75,208.304,287.046814
500,75,228.02,262.22699
500,75,213.465,280.106812
500,75,1204.446,49.64357
500,75,177.953,336.004456
500,75,173.399,344.828979
500,75,211.112,283.228821
500,75,295.279,202.496628
250,0,26.269,2276.181152
250,0,129.298,462.443329
250,0,72.357,826.360962
250,0,89.007,671.778625
250,0,62.301,959.743835
250,0,98.387,607.732727
250,0,67.769,882.306091
250,0,88.85,672.965698
250,0,84.198,710.147522
250,0,1065.189,56.133701
250,0,38.967,1534.452271
250,0,85.998,695.28363
250,0,73.261,816.164124
250,0,43.6,1371.39917
250,0,178.669,334.657928
250,0,56.656,1055.369263
250,0,91.609,652.697876
250,0,41.845,1428.916138
250,0,66.364,900.985474
250,0,33.642,1777.332031
250,0,70.719,845.50116
250,0,90.203,662.871521
250,0,1061.351,56.336689
250,0,82.791,722.216187
250,0,74.487,802.730713
250,0,80.792,740.085632
250,0,72.048,829.90509
250,0,108.719,549.977478
250,0,59.56,1003.911987
250,0,101.395,589.703674
250,0,84.568,707.040466
250,0,67.063,891.594421
250,0,90.373,661.624573
250,0,135.911,439.942322
250,0,71.71,833.816772
250,0,139.954,427.233246
250,0,80.853,739.527344
250,0,89.731,666.358337
250,0,44.593,1340.860718
250,0,82.206,727.355652
250,0,97.541,613.003784
250,0,82.719,722.844788
250,0,42.477,1407.655884
250,0,86.405,692.008545
250,0,77.626,770.270264
250,0,1085.967,55.059681
250,0,70.31,850.419617
250,0,84.694,705.988586
250,0,82.03,728.91626
250,0,72.031,830.100952
250,0,85.159,702.133667
250,0,92.298,647.825562
250,0,97.578,612.771301
250,0,69.803,856.596375
250,0,48.545,1231.702637
250,0,61.857,966.632751
250,0,69.934,854.991882
250,0,54.929,1088.550659
250,0,1089.849,54.863564
250,0,97.041,616.162231
250,25,99.272,602.314819
250,25,59.84,999.2146
250,25,1113.62,53.692463
250,25,123.336,484.797638
250,25,136.757,437.220764
250,25,131.667,454.122864
250,25,325.579,183.651276
250,25,83.223,718.467224
250,25,1105.9,54.067276
250,25,84.899,704.283875
250,25,112.768,530.230225
250,25,84.582,706.923462
250,25,143.435,416.864777
250,25,118.105,506.269836
